,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR
0,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,28,"2,372",26.4,0.04,0.11,0.15,0.04,0,0,2,0
1,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,7,0,173,1.9,0.00,0.00,0.00,0.00,0,0,1,0
2,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,1,63,0.7,0.00,0.00,0.00,0.00,0,0,0,0
3,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,0,1,0.0,0.00,0.00,0.00,0.00,0,0,0,0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,37,"3,330",37.0,0.03,0.05,0.08,0.03,0,0,6,0
5,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,24,"2,137",23.7,0.08,0.08,0.17,0.08,0,0,3,0
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,33,"2,894",32.2,0.03,0.03,0.06,0.03,0,0,6,1
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,28,"2,342",26.0,0.00,0.04,0.04,0.00,0,0,7,1
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,6,592,6.6,0.00,0.00,0.00,0.00,0,0,2,0
9,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,19,8,806,9.0,0.22,0.11,0.33,0.11,1,2,1,0
10,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,0,107,1.2,0.84,0.00,0.84,0.84,0,0,0,0
11,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,7,607,6.7,0.00,0.00,0.00,0.00,0,0,2,0
12,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,37,28,"2,473",27.5,0.36,0.18,0.55,0.36,0,0,4,0
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,24,"2,189",24.3,0.33,0.12,0.45,0.33,0,0,2,0
14,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,1,0,15,0.2,0.00,0.00,0.00,0.00,0,0,0,0
15,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,25,"2,425",26.9,0.00,0.07,0.07,0.00,0,0,4,0
